大学名,HP,カテゴリ,監督氏名,部員数,新４年人数,新３年人数,新２年人数,新１年人数,24新入部員,25新入部員,22J内定,23J内定,24J内定,24デンソー出場,25デンソー出場,部員主な学部,面数,部員寮,施設特記事項,スポーツ推薦有無,スポーツ推薦基準評定,スポーツ推薦受入人数,セレクション有無,セレクション時期,一般入部可否,入部条件,推薦条件など　他,PLAYMAKERコメント
東洋大川越,https://toyokawagoefc.wixsite.com/toyo-kawagoefc,Norte２部 (https://www.notion.so/Norte-d5d2b1f7aeca410481280965ac7d63a1?pvs=21),福井 裕希,48,12,10,14,12,https://toyokawagoefc.wixsite.com/toyo-kawagoefc/%E8%A4%87%E8%A3%BD-%E9%83%A8%E5%93%A1%E7%B4%B9%E4%BB%8B2%E5%B9%B4,,0,0,0,0,0,理工学部、総合情報学部等,1,なし,学内人工芝,無,,,無,,可,誰でも入部可,,埼玉県にある東洋大学の川越キャンパスのサッカー部。本家は関東1部に所属する東洋大学のため、関東リーグへは参入できないチームだが「脱サークル」を掲げ、本気でサッカーに打ち込んでいる。昨年2部3位となり、1部昇格を決めたが1年での降格が決まった。
茨城大学,https://www.instagram.com/ibaraki_univ_fc/,Norte２部 (https://www.notion.so/Norte-d5d2b1f7aeca410481280965ac7d63a1?pvs=21),,0,,,,,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
群馬大学,https://www.instagram.com/gufc_spts/,Norte２部 (https://www.notion.so/Norte-d5d2b1f7aeca410481280965ac7d63a1?pvs=21),,0,,,,,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
宇都宮大学,https://www.instagram.com/_uu.soccer_/,Norte２部 (https://www.notion.so/Norte-d5d2b1f7aeca410481280965ac7d63a1?pvs=21),,0,,,,,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
育英大学,https://www.ikuei-g.ac.jp/university/ikuei-football-club/,Norte２部 (https://www.notion.so/Norte-d5d2b1f7aeca410481280965ac7d63a1?pvs=21),萩原 直斗,17,0,0,0,17,https://www.ikuei-g.ac.jp/university/ikuei-football-club/playersnstaff/,,0,0,0,0,0,教育学部,1,あり,学内人工芝他,有,,,,,,練習参加で入試前に合格必要,,
日本スポーツウェルネス大学,https://www.footballnavi.jp/wellness_univ/,Norte２部 (https://www.notion.so/Norte-d5d2b1f7aeca410481280965ac7d63a1?pvs=21),村田 信行,0,,,,,,,0,0,0,0,0,,,,学内人工芝,有,,,,,,練習参加で入試前に合格必要,,
日本薬科大学,https://www.nichiyaku.ac.jp/soccerclub/,Norte２部 (https://www.notion.so/Norte-d5d2b1f7aeca410481280965ac7d63a1?pvs=21),清水 純也,0,,,,,,,0,0,0,0,0,,,,人工芝(サイズ正規なし),有,,,,,可,練習参加で入試前に合格必要,,
高崎経済大学,https://www.takeki-afc.com/,Norte２部 (https://www.notion.so/Norte-d5d2b1f7aeca410481280965ac7d63a1?pvs=21),,31,1,11,9,10,,,0,0,0,0,0,,,,,無,,,無,,可,誰でも入部可,,
IPU・環太平洋大学,https://ipu-japan.ac.jp/athletic/club/soccer/,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),桂 秀樹,203,50,52,48,53,https://web.gekisaka.jp/news/university/detail/?401853-401853-fl,,1,2,0,5,5,体育学部、経済経営学部等,2,大学寮,施設面全国TOPクラス,有,3,20,無,,可,誰でも入部可,,スポーツに力を入れている大学でグラウンドはもちろんトレーニングセンターやコンディショニングルームなど全国屈指の環境を誇る。ほか部活も全国レベルでそこからの刺激もある。部員数は多いものの、サッカーが本気で大好きな選手が多い印象で、明るい雰囲気。学生トレーナーや学生コーチも多く在籍している。ボールをしっかり繋ぐサッカーを徹底
岡山大学,http://fc-okayama-univ.com/TeamProfile/top.html,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),山田 充,66,16,8,25,17,,,0,0,0,0,0,,,,,無,,,無,,可,誰でも入部可,,
山口大学,,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),丹 信介,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,可,誰でも入部可,,
福山平成大学,,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),若井 研治,0,,,,,,,0,0,0,2,0,,,,,,,,,,,,,
広島文化学園大学,https://www.footballnavi.jp/hbg_soccer/,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),房野 真也,54,10,23,6,15,,,0,0,0,0,3,スポーツ健康福祉学科,,,,,,,,,,,,
福山大学,https://www.footballnavi.jp/fukuyama_univ/,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),的場 千尋,86,20,18,23,25,https://www.footballnavi.jp/fukuyama_univ/member.php?stno=616,,0,0,0,2,2,,,,,,,,,,,,,
周南公立大学,,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),中村 重和,0,,,,,,,0,0,0,1,2,,,,,,,,,,,,,
広島修道大学,,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),畑 裕喜,0,,,,,,,1,0,0,1,0,,,,,,,,,,,,,
広島経済大学,https://www.hue.ac.jp/circle/taiku/huefc/,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),服部 公太,60,13,18,14,15,https://www.hue.ac.jp/circle/taiku/huefc/,,0,0,0,3,4,,,,,,,,,,,,,
広島大学,https://hiroshima-u-soccer.jimdofree.com/,中国１部 (https://www.notion.so/a951624bb1684081832c565c6630d04a?pvs=21),上泉  康樹,70,16,18,17,19,https://hiroshima-u-soccer.jimdofree.com/%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%E7%B4%B9%E4%BB%8B/1%E5%B9%B4%E7%94%9F/,https://web.gekisaka.jp/news/university/detail/?424847-424847-fl,0,0,0,6,5,,1,,学内人工芝,有,,,,,,,,
下関市立大学,,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,,,可,,,
尾道市立大学,,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,,,可,,,
就実大学,,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),丹生 裕一,0,,,,,,,0,0,0,0,0,,,,,無,,,,,可,,,
鳥取大学,https://tottorisoccer.wixsite.com/toridaisoccer,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),中郷 厚史,0,,,,,,,0,0,0,0,0,,,,,無,,,,,可,,,
広島工業大学,,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),今井 厚准,0,,,,,,,0,0,0,0,0,,,,,無,,,,,可,,,
島根大学,,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),学生監督,0,,,,,,,0,0,0,0,0,,,,,無,,,,,可,,,
吉備国際大学,https://www.kibikokusai-fc.jp/,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),下山 雅司,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
広島国際大学,,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),菅　輝,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
川崎医療福祉大学,https://w.kawasaki-m.ac.jp/life/activities_club_06/,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,,,可,誰でも入部可,,
岡山理科大学,https://ridai-fc.com/,中国２部 (https://www.notion.so/a5f84a3ecfad47f3b82b99fe24b2a712?pvs=21),奏 敬治,0,,,,,,,0,0,0,0,0,,,,,無,,,,,可,誰でも入部可,,
福岡大学,https://fukuoka-u-football.com/,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),乾 真寛,122,35,30,31,26,https://web.gekisaka.jp/news/university/detail/?402838-402838-fl,,4,3,1,12,8,スポーツ科学部、法学部等,1,あり,,有,3,20,無,,不可,練習参加 or セレクションで入試前に合格必要,,九州の名門強豪大学。地方大学ながら毎年Jリーガーを多く輩出しており、一芸に秀でた選手が多く在籍している印象。グラウンドはもちろんその他施設も新たに新設されたりととても充実している。部員一人一人の主体性を高めるためにも部署制度を作っており、強固な組織づくりをはじめ、社会人としての基礎をつくることにも力をいれている。
日本文理大学,https://club.nbu.ac.jp/football/,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),西野 晃平,127,25,35,36,31,https://www.nbu.ac.jp/s_life/club/soccer/player/,,2,0,0,0,1,工学部、経営経済学部等,1,全寮制,,有,3,25,無,,不可,,,大分県に所在。元JリーガーでOBである西野氏が監督を務め、各カテゴリーにスタッフを配置して指導にあたっている。九州では一番大所帯で１学年４０名程度が在籍。部員アパートや砂場練習場など特色ある施設も充実しており、個の育成に重きを置いている。大分県にゆかりがある選手を特に意識して九州からサッカーを盛り上げることを目指す
鹿屋体育大学,https://kanoyafootball.com/,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),塩川 勝行,81,24,19,19,19,https://kanoyafootball.com/player#anchor_1%E5%B9%B4%E7%94%9F,,1,1,2,9,7,体育学部,3,大学寮,,有,3,5,無,,可,誰でも入部可(基準あり),スポーツ推薦は地域レベル以上の大会出場が必要,鹿児島県に所在。国立大学唯一の体育大学ということもあり、しっかりした選手が多い。立地環境がへ九州内でも辺鄙な場所にあり、移動がかなり大変な面もある。マネージャーや主務などの育成にも力をいれており、プレーヤー、指導者以外にもサッカーに関わる業務を携わりたい、集中してスポーツに取り組みたいメンバーにとっては良い環境。
九州産業大学,https://www.ksusoccer1961.com/,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),,84,18,16,22,28,https://www.ksusoccer1961.com/%E9%81%B8%E6%89%8B-%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%E7%B4%B9%E4%BB%8B/1%E5%B9%B4%E7%94%9F/,,1,1,1,1,4,人間科学部、経済学部等,1,なし,,有,3.1,15,無,,不可,練習参加で入試前に合格必要,,福岡県に所在。Jリーグだけでなく、ヨーロッパでの指導経験も豊富な濱吉氏が監督を務め、「スポーツキャリアコーディネーター」という資格も保持。サッカー部内でも企画や広報、総務、審判などさまざまな部署を作り各々活動を促しながら、チーム強化と人材育成を行っている。サッカー選手以外の進路を考えている選手におすすめ。
久留米大学,,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
東海大学熊本,http://www.tokai-kumamoto-fc.jp,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),川部 靖徳,59,19,12,6,22,http://www.tokai-kumamoto-fc.jp/%e9%81%b8%e6%89%8b%e6%83%85%e5%a0%b1-2/%e5%a4%a7%e5%ad%a6%e9%81%b8%e6%89%8b/1%e5%b9%b4/,,0,0,0,0,0,,,,学内人工芝,無,,,無,,可,,,
九州共立大学,,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
熊本学園大学,http://www.kumagaku.ac.jp/circle_sports/archives/17,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),東 賢太郎,62,,22,16,24,,,0,0,0,0,0,,,,,,,,,,,,,
宮崎産業経営大学,https://www.miyasankei-u.ac.jp/student/soccer/,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),笛 真人,48,12,12,12,12,,,0,1,0,0,0,,,,学内人工芝,有,3,,,,不可,,,
西南学院大学,https://seinan-univ-soccer.com/,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),纉木 智彦,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
九州国際大学,https://kiusoccer.com/,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),籾井 徹司,61,,19,18,24,,,0,0,0,0,0,,,,,,,,,,,,,
日本経済大学,,九州１部 (https://www.notion.so/39d03918463c4ff4947f4507c8980c8f?pvs=21),久保山 雅彦 ,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
宮崎大学,,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
長崎国際大学,https://niufootball.net/,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),,49,,5,21,23,,,0,0,0,0,0,,,,,,,,,,,,,
九州工業大学,,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
沖縄大学,https://sc.footballnavi.jp/okinawa_univ_sc/,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),備瀬 知貴,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
長崎総合科学大学,,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),八戸 寿憲,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
福岡教育大学,https://utef-fc.jimdofree.com/,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
九州大学,https://kyushuuniv-soccer.amebaownd.com/,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),学生監督,39,,10,10,19,,,0,0,0,0,0,,,,,,,,,,,,,
名桜大学,https://sc.footballnavi.jp/meiofc/,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),神谷 義人,22,,4,10,8,,,0,0,0,0,0,,,,,,,,,,,,,
西日本工業大学,,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),柄本 一輝,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
九州医療科学大学,,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
沖縄国際大学,,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
佐賀大学,,九州２部 (https://www.notion.so/107526b1510280ae9258cc9803b609ab?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
新潟医療福祉大学,https://www.nuhw.ac.jp/sport/soccer/,北信越１部 (https://www.notion.so/39e6c9c7255345f49662fb076acfab43?pvs=21),佐熊 裕和,136,27,31,41,37,https://web.gekisaka.jp/news/university/detail/?400436-400436-fl,,4,3,2,8,7,リハビリテーション学部、健康科学部等,1,全寮制,アルビレッジにてトレーニング,有,,25,無,,不可,スポーツ推薦のみ / 練習参加で入試前に合格必要,,2022年インカレ準優勝の北信越の強豪。アルビレックス新潟と提携しアルビレッジ(アルビレックス新潟の施設)で活動をしている。監督は中村俊輔を高校時代に指導した佐熊氏。スタッフも元Jリーガーをはじめ大学指導経験豊富な人員が指導にあたる。社会人リーグやIリーグなど1・2年生から試合経験を積める環境が整っている。近年Jリーガーも多く輩出
北陸大学,https://footballnavi.jp/hokuriku/,北信越１部 (https://www.notion.so/39e6c9c7255345f49662fb076acfab43?pvs=21),西川 周吾,47,14,13,13,7,,,0,0,1,3,2,医療法県学部、経済経営学部等,2,全寮制,2面＋クラブハウスで充実,有,,25,無,,条件有,練習参加及び面接で入試前に合格必要,,顧問、監督ともに筑波大OBでS級保持者であり、プレーはもちろんながらサッカーに関わる業務について深く学べる環境を用意しており、深くサッカーに触れることができる。施設も人工芝２面にトレーニングルームやミーティングルームを完備したJクラブに匹敵した環境。指導者資格取得できたり指導を学ぶ上でも様々なチャレンジができる。
新潟経営大学,https://www.niigataum.ac.jp/guidance/circle/soccer/,北信越１部 (https://www.notion.so/39e6c9c7255345f49662fb076acfab43?pvs=21),杉山 学,84,15,20,19,30,https://www.niigataum.ac.jp/guidance/circle/soccer/member/,,0,1,0,3,2,経営情報学部等,1,なし,,有,,30,有,,不可,練習参加で入試前に合格必要,全国大会出場,近年、他大学の台頭により全国大会には絡めていないが、過去多くの全国大会へ出場歴を持つ。スカウティングに力を入れており、全国から多くの選手が集まっている。監督は長年、新潟経営大学で指導する赤松氏(東海大OB)。トレーニング施設も充実しており、スポーツ学部もあるため、スポーツについて深く学ぶことができる環境
松本大学,https://matsumoto-univ-soccer.com/,北信越１部 (https://www.notion.so/39e6c9c7255345f49662fb076acfab43?pvs=21),齊藤 茂,72,12,20,25,15,https://matsumoto-univ-soccer.com/player,,1,0,0,3,3,スポーツ健康学部、人間健康学部等,1,なし,,有,3,15,有,夏,不可,練習参加 or セレクションで入試前に合格必要,総合型選抜（指定競技）入試 ,松本山雅FCと提携し、コーチ派遣や練習参加など繋がりを強化している。選手の個性を重視したパスサッカーを展開。大学のサポートも手厚く、集中してサッカー、学業に取り組める環境が整っている。2022年には松本山雅と長野パルセイロに選手を輩出しており、地元クラブと密接な関係を築いている、入部についてはスポーツ推薦者のみで事前の練習参加やセレクションへの参加が必須。
信州大学,,北信越１部 (https://www.notion.so/39e6c9c7255345f49662fb076acfab43?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
金沢学院大学,https://kgu-football.studio.site/,北信越１部 (https://www.notion.so/39e6c9c7255345f49662fb076acfab43?pvs=21),太田 康介,89,14,29,22,24,,,0,0,0,1,4,,,,,有,,,,,,,,
金沢大学,https://www.ed.kanazawa-u.ac.jp/~masuda/kufc/,北信越１部 (https://www.notion.so/39e6c9c7255345f49662fb076acfab43?pvs=21),山本 信忠,56,9,13,26,8,,,0,0,0,0,0,,1,,学内人工芝,無,,,無,,,,,
新潟産業大学,https://sites.google.com/view/nsufootboll/,北信越１部 (https://www.notion.so/39e6c9c7255345f49662fb076acfab43?pvs=21),岡村 宜城,45,14,9,7,15,,https://web.gekisaka.jp/news/university/detail/?424848-424848-fl,0,0,0,0,2,,,,,有,,,,,,,,
上越教育大学,,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
福井県立大学,,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
福井大学,,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
金沢工業大学,,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
富山大学,,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
新潟大学,https://niigatauniv-footballclub.jimdofree.com/,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,49,12,13,11,13,,,0,0,0,0,0,,,,,無,,,無,,,,,
福井工業大学,https://sc.footballnavi.jp/fut-soccer-ut/,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),原 美彦,31,10,6,5,10,,,0,0,0,0,0,,,,,有,,,,,,,,
金沢星稜大学,https://www.instagram.com/kanazawa_seiryo/,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),小松崎 保,0,,,,,,,0,0,1,2,1,,,,学内人工芝(星稜高校と共同),有,,,,,,,,
北海道教育大学岩見沢,https://gankyosoccer.com/,北海道１部 (https://www.notion.so/569477c2023647209eca15fde08618c1?pvs=21),安部 久貴,53,13,12,14,14,https://gankyosoccer.com/player/,,0,0,0,6,9,芸術・スポーツ文化学科,1,なし,,有,,5,無,,可,,,教員養成の名門大学。教育大学ということもあり文武両道を実践しながら全国大会の常連となっている。真面目な選手が多くひたむきにハードワークするサッカーをベースにして近年は全国大会でもベスト8に入るなど、躍進が目立つ。国立大学ということもあり、スポーツ推薦枠は少ないが教員を目指している選手は要チェックの大学。
